index,Positive predictive parity difference,Accuracy equality difference,Statistical parity difference,Equal opportunity difference,Negative predictive parity difference,Predictive equality difference,Predictive accuracy equality difference,Positive predictive equality difference,Negative predictive equality difference,sr
33,0.09703931558204364,0.0,0.0,0.11124194943766222,0.09703931558204364,0.11124194943766222,0.11124194943766222,0.19364606363548975,0.19364606363548975,0.73046875
34,0.09721792890262751,0.0,0.0,0.09657761095164495,0.09721792890262751,0.09657761095164495,0.09657761095164495,0.17948774563921396,0.17948774563921396,0.75
35,0.11556095674750042,0.0,0.0,0.12279732640998729,0.11556095674750042,0.12279732640998729,0.12279732640998729,0.21888637242446005,0.21888637242446005,0.76953125
36,0.12180110139293812,0.0,0.0,0.12995356872907893,0.12180110139293812,0.12995356872907893,0.12995356872907893,0.2309415829823993,0.2309415829823993,0.7900390625
37,0.14483589280337247,0.0,0.0,0.20351550737729598,0.14483589280337247,0.20351550737729598,0.20351550737729598,0.3102228244504667,0.3102228244504667,0.8095703125
38,0.14794487132577144,0.0,0.0,0.1421718095702728,0.14794487132577144,0.1421718095702728,0.1421718095702728,0.2646257673700045,0.2646257673700045,0.830078125
39,0.17414813303407467,0.0,0.0,0.2341358906345644,0.17414813303407467,0.2341358906345644,0.2341358906345644,0.36125280554988776,0.36125280554988776,0.849609375
40,0.1980930315451791,0.0,0.0,0.18633042238460168,0.1980930315451791,0.18633042238460168,0.18633042238460168,0.3412047763322046,0.3412047763322046,0.8701171875
41,0.26287203997393005,0.0,0.0,0.40136867260482295,0.26287203997393005,0.40136867260482295,0.40136867260482295,0.5581142733000217,0.5581142733000217,0.8896484375
42,0.27053256336220727,0.0,0.0,0.30173243503368624,0.27053256336220727,0.30173243503368624,0.30173243503368624,0.4876483798524222,0.4876483798524222,0.91015625
43,0.3393344244408074,0.0,0.0,0.5,0.3393344244408074,0.5,0.5,0.6696672122204037,0.6696672122204037,0.9296875
44,0.4127970749542962,0.0,0.0,0.5,0.4127970749542962,0.5,0.5,0.7063985374771481,0.7063985374771481,0.9501953125
45,0.5043103448275862,0.0,0.0,0.5,0.5043103448275862,0.5,0.5,0.7521551724137931,0.7521551724137931,0.9697265625
46,0.47277936962750716,0.34097421203438394,0.34097421203438394,0.670487106017192,0.47277936962750716,0.670487106017192,0.670487106017192,0.7363896848137536,0.7363896848137536,0.990234375
